Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Item_Type_Combined,Years_Established
11.5,Low Fat,0.0,Snack Foods,119.5124,Medium,Tier 3,Supermarket Type2,829.5868,train,Food,12
12.5,Regular,0.082085787,Fruits and Vegetables,92.2488,Medium,Tier 3,Supermarket Type2,1358.232,train,Food,12
15.35,Low Fat,0.095931002,Soft Drinks,198.5768,Medium,Tier 3,Supermarket Type3,6897.688,train,Drinks,36
10.695,Regular,0.011448629,Snack Foods,72.9038,Small,Tier 2,Supermarket Type1,1034.6532,train,Food,19
14.15,Not Applicable,0.00879232,Household,195.011,Small,Tier 2,Supermarket Type1,1964.11,train,Non-Consumable,17
17.6,Low Fat,0.049167388,Snack Foods,114.9176,Small,Tier 2,Supermarket Type1,1946.7992,train,Food,19
12.15,Not Applicable,0.079046992,Health and Hygiene,39.8506,Medium,Tier 3,Supermarket Type3,1480.0734,train,Non-Consumable,36
6.215,Regular,0.049580407,Baking Goods,227.4062,High,Tier 3,Supermarket Type1,5191.2426,train,Food,34
18.1,Low Fat,0.022399592,Fruits and Vegetables,96.0094,Small,Tier 1,Supermarket Type1,1808.9786,train,Food,24
11.65,Low Fat,0.033926852,Seafood,111.586,Small,Tier 2,Supermarket Type1,3395.58,train,Food,19
7.42,Regular,0.021617397,Seafood,185.0582,Small,Tier 2,Supermarket Type1,5201.2296,train,Food,19
20.0,Not Applicable,0.0814536,Others,36.819,Medium,Tier 1,Supermarket Type1,768.999,train,Non-Consumable,22
17.75,Low Fat,0.07607772,Baking Goods,112.4544,Medium,Tier 1,Supermarket Type1,2348.9424,train,Food,22
14.0,Regular,0.135775701,Frozen Foods,54.564,Small,Tier 1,Supermarket Type1,1597.92,train,Food,24
15.35,Regular,0.0,Fruits and Vegetables,193.0504,Medium,Tier 1,Supermarket Type1,2492.7552,train,Food,22
6.13,Low Fat,0.076891526,Dairy,61.5536,Small,Tier 2,Supermarket Type1,796.2968,train,Drinks,19
9.695,Regular,0.128543405,Baking Goods,226.5404,Small,Tier 2,Supermarket Type1,4500.808,train,Food,19
20.25,Regular,0.014793357,Dairy,191.5162,Small,Tier 1,Supermarket Type1,3078.6592,train,Food,24
11.3,Regular,0.066406853,Frozen Foods,259.7962,Medium,Tier 3,Supermarket Type3,5697.9164,train,Food,36
15.85,Regular,0.007140468,Snack Foods,40.848,High,Tier 3,Supermarket Type1,679.116,train,Food,34
19.85,Regular,0.020858779,Snack Foods,62.8194,High,Tier 3,Supermarket Type1,928.791,train,Food,34
4.61,Low Fat,0.123346085,Hard Drinks,172.5396,Small,Tier 2,Supermarket Type1,3663.2316,train,Drinks,14
7.365,Low Fat,0.159937597,Snack Foods,93.912,Small,Tier 2,Supermarket Type1,1304.968,train,Food,17
7.81,Low Fat,0.067128641,Soft Drinks,242.8486,Medium,Tier 3,Supermarket Type3,3420.8804,train,Drinks,36
18.85,Low Fat,0.042736348,Canned,255.933,Small,Tier 2,Supermarket Type1,3844.995,train,Food,19
9.035,Regular,0.172629683,Meat,148.4708,Medium,Tier 3,Supermarket Type3,3761.77,train,Food,36
11.3,Low Fat,0.007278512,Meat,196.7426,Small,Tier 2,Supermarket Type1,2768.3964,train,Food,17
7.405,Low Fat,0.0,Dairy,205.7296,Small,Tier 2,Supermarket Type1,4570.0512,train,Food,14
15.7,Regular,0.03079807,Snack Foods,252.9724,Small,Tier 2,Supermarket Type1,3020.0688,train,Food,14
7.72,Low Fat,0.12152072,Fruits and Vegetables,118.244,Small,Tier 1,Supermarket Type1,958.752,train,Food,24
6.65,Low Fat,0.053591345,Canned,149.7734,Small,Tier 2,Supermarket Type1,2375.5744,train,Food,14
10.6,Not Applicable,0.035163639,Health and Hygiene,84.4224,High,Tier 3,Supermarket Type1,852.224,train,Non-Consumable,34
13.0,Not Applicable,0.061470858,Household,48.6034,Small,Tier 1,Grocery Store,145.8102,train,Non-Consumable,36
15.85,Low Fat,0.043226398,Starchy Foods,37.5164,Small,Tier 2,Supermarket Type1,270.3148,train,Food,17
12.15,Low Fat,0.062640143,Starchy Foods,36.6532,Small,Tier 2,Supermarket Type1,251.6724,train,Food,14
11.35,Regular,0.06358394,Dairy,89.4856,Small,Tier 2,Supermarket Type1,1142.5128,train,Food,14
20.1,Not Applicable,0.077389797,Health and Hygiene,60.8536,High,Tier 3,Supermarket Type1,1347.5792,train,Non-Consumable,34
15.7,Regular,0.00878535,Meat,204.998,Small,Tier 2,Supermarket Type1,5366.348,train,Food,14
15.0,Regular,0.136592891,Meat,238.0248,Small,Tier 1,Grocery Store,711.0744,train,Food,36
16.7,Regular,0.054937907,Starchy Foods,64.2168,Small,Tier 2,Supermarket Type1,1661.8368,train,Food,14
6.115,Regular,0.007084185,Soft Drinks,191.153,Small,Tier 2,Supermarket Type1,3415.554,train,Drinks,14
20.7,Not Applicable,0.027052013,Household,73.9354,Small,Tier 2,Supermarket Type1,1655.1788,train,Non-Consumable,14
9.8,Regular,0.072863893,Snack Foods,118.6098,Small,Tier 2,Supermarket Type1,843.5686,train,Food,17
16.85,Low Fat,0.244102315,Snack Foods,148.076,Small,Tier 1,Grocery Store,146.476,train,Food,36
20.35,Low Fat,0.141789197,Snack Foods,121.9072,Small,Tier 2,Supermarket Type1,1347.5792,train,Food,17
6.71,Low Fat,0.035414528,Breads,218.2166,Medium,Tier 3,Supermarket Type3,3701.1822,train,Food,36
6.85,Low Fat,0.022864238,Frozen Foods,260.0594,High,Tier 3,Supermarket Type1,6018.1662,train,Food,34
20.35,Low Fat,0.054011943,Snack Foods,116.5466,High,Tier 3,Supermarket Type1,1885.5456,train,Food,34
9.195,Regular,0.117462619,Snack Foods,158.9578,Small,Tier 2,Supermarket Type1,2246.4092,train,Food,17
9.695,Not Applicable,0.11411658,Health and Hygiene,158.8604,Medium,Tier 1,Supermarket Type1,4436.8912,train,Non-Consumable,22
8.895,Low Fat,0.046124444,Frozen Foods,206.7954,Small,Tier 1,Grocery Store,833.5816,train,Food,36
11.65,Regular,0.075849167,Snack Foods,85.1908,Small,Tier 1,Supermarket Type1,2181.1608,train,Food,24
6.035,Regular,0.065729039,Baking Goods,188.324,High,Tier 3,Supermarket Type1,1491.392,train,Food,34
18.2,Not Applicable,0.097865088,Household,221.8456,Small,Tier 3,Grocery Store,884.1824,train,Non-Consumable,23
15.2,Not Applicable,0.058827583,Household,110.4912,Small,Tier 1,Grocery Store,436.7648,train,Non-Consumable,36
7.63,Low Fat,0.061313057,Soft Drinks,93.3436,Medium,Tier 3,Supermarket Type2,1323.6104,train,Drinks,12
6.385,Regular,0.123961415,Snack Foods,33.2874,Small,Tier 2,Supermarket Type1,141.1496,train,Food,19
9.6,Regular,0.014270394,Snack Foods,187.3872,Medium,Tier 3,Supermarket Type2,2647.2208,train,Food,12
20.5,Low Fat,0.060847634,Frozen Foods,75.0696,Small,Tier 3,Grocery Store,149.1392,train,Food,23
16.1,Low Fat,0.0,Fruits and Vegetables,253.0356,Medium,Tier 3,Supermarket Type3,11445.102,train,Food,36
18.35,Not Applicable,0.014103354,Household,225.4746,Small,Tier 2,Supermarket Type1,1346.2476,train,Non-Consumable,14
19.6,Low Fat,0.033901442,Soft Drinks,56.2614,Small,Tier 1,Supermarket Type1,773.6596,train,Drinks,24
14.15,Regular,0.024454052,Fruits and Vegetables,197.211,Small,Tier 2,Supermarket Type1,3731.809,train,Food,19
5.325,Regular,0.0,Dairy,55.9298,Small,Tier 1,Grocery Store,107.8596,train,Food,36
14.5,Regular,0.096730427,Snack Foods,159.0262,Medium,Tier 3,Supermarket Type3,5887.6694,train,Food,36
17.6,Low Fat,0.097198194,Dairy,89.8856,Small,Tier 2,Supermarket Type1,351.5424,train,Drinks,17
19.0,Regular,0.066005186,Fruits and Vegetables,188.4214,Small,Tier 2,Supermarket Type1,2826.321,train,Food,14
8.42,Regular,0.030890618,Canned,228.7352,Medium,Tier 1,Supermarket Type1,5954.9152,train,Food,22
9.3,Low Fat,0.028498354,Baking Goods,195.8136,High,Tier 3,Supermarket Type1,2332.9632,train,Food,34
19.75,Low Fat,0.033883448,Snack Foods,213.2902,Small,Tier 2,Supermarket Type1,4247.804,train,Food,17
6.78,Low Fat,0.066565644,Fruits and Vegetables,185.324,High,Tier 3,Supermarket Type1,3914.904,train,Food,34
15.2,Not Applicable,0.169943195,Health and Hygiene,116.2492,Small,Tier 1,Grocery Store,115.8492,train,Non-Consumable,36
17.25,Low Fat,0.0,Soft Drinks,263.591,Small,Tier 2,Supermarket Type1,788.973,train,Drinks,19
15.3,Regular,0.084765192,Canned,215.0218,Small,Tier 1,Supermarket Type1,1923.4962,train,Food,24
15.7,Regular,0.027617046,Canned,168.279,Small,Tier 1,Supermarket Type1,4074.696,train,Food,24
17.85,Low Fat,0.052166995,Snack Foods,121.7072,Small,Tier 2,Supermarket Type1,2817.6656,train,Food,17
12.8,Regular,0.0,Dairy,184.2608,Medium,Tier 3,Supermarket Type3,6064.1064,train,Food,36
15.3,Not Applicable,0.038460297,Household,104.0332,Small,Tier 3,Grocery Store,205.0664,train,Non-Consumable,23
16.25,Low Fat,0.025789175,Fruits and Vegetables,166.9474,Small,Tier 2,Supermarket Type1,2863.6058,train,Food,19
15.0,Regular,0.161301097,Canned,185.1266,High,Tier 3,Supermarket Type1,2213.1192,train,Food,34
13.85,Low Fat,0.034640466,Hard Drinks,116.1492,Small,Tier 2,Supermarket Type1,1274.3412,train,Drinks,19
17.6,Low Fat,0.0,Dairy,89.1856,Medium,Tier 3,Supermarket Type3,2109.2544,train,Drinks,36
13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,Medium,Tier 1,Supermarket Type1,1593.9252,train,Food,22
7.475,Not Applicable,0.076036381,Household,153.9656,Medium,Tier 3,Supermarket Type2,2625.9152,train,Non-Consumable,12
18.7,Regular,0.071091591,Frozen Foods,228.601,Small,Tier 2,Supermarket Type1,4823.721,train,Food,14
12.5,Low Fat,0.187841082,Canned,119.244,Small,Tier 3,Grocery Store,119.844,train,Food,23
15.85,Low Fat,0.043234574,Starchy Foods,38.3164,Small,Tier 1,Supermarket Type1,540.6296,train,Food,24
19.35,Low Fat,0.026055106,Fruits and Vegetables,169.5474,Medium,Tier 3,Supermarket Type3,4211.185,train,Food,36
20.75,Low Fat,0.109153001,Snack Foods,161.3578,Medium,Tier 3,Supermarket Type2,4492.8184,train,Food,12
5.82,Not Applicable,0.08062523,Household,168.379,Small,Tier 2,Supermarket Type1,1188.453,train,Non-Consumable,17
5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,Small,Tier 3,Grocery Store,175.7712,train,Food,23
13.1,Regular,0.098938169,Frozen Foods,195.7768,Medium,Tier 1,Supermarket Type1,4138.6128,train,Food,22
10.1,Regular,0.0,Fruits and Vegetables,225.1088,High,Tier 3,Supermarket Type1,3579.3408,train,Food,34
16.75,Not Applicable,0.032580547,Health and Hygiene,192.1162,Small,Tier 2,Supermarket Type1,3848.324,train,Non-Consumable,17
10.8,Low Fat,0.097937252,Meat,98.9042,Medium,Tier 3,Supermarket Type3,4960.21,train,Food,36
17.1,Regular,0.0,Fruits and Vegetables,208.5638,Medium,Tier 1,Supermarket Type1,5383.6588,train,Food,22
7.42,Low Fat,0.020391845,Snack Foods,248.9092,Small,Tier 1,Supermarket Type1,2241.0828,train,Food,24
7.51,Low Fat,0.103813029,Snack Foods,113.7544,Small,Tier 1,Supermarket Type1,671.1264,train,Food,24
11.6,Low Fat,0.031069203,Canned,179.6686,Small,Tier 1,Grocery Store,177.7686,train,Food,36
9.6,Low Fat,0.062294473,Snack Foods,242.417,Small,Tier 1,Grocery Store,486.034,train,Food,36
19.2,Regular,0.022914478,Fruits and Vegetables,181.195,Small,Tier 2,Supermarket Type1,2380.235,train,Food,17
18.6,Low Fat,0.152058281,Breakfast,99.9358,Small,Tier 1,Supermarket Type1,201.0716,train,Food,24
7.105,Not Applicable,0.044991294,Household,59.2562,Medium,Tier 3,Supermarket Type2,651.8182,train,Non-Consumable,12
4.92,Low Fat,0.046214971,Baking Goods,199.8084,Small,Tier 2,Supermarket Type1,3968.168,train,Food,14
11.0,Regular,0.13312044,Canned,221.5798,Small,Tier 2,Supermarket Type1,4187.2162,train,Food,17
7.68,Not Applicable,0.255348289,Health and Hygiene,84.4224,Small,Tier 3,Grocery Store,170.4448,train,Non-Consumable,23
13.15,Low Fat,0.036879539,Frozen Foods,181.3976,Small,Tier 2,Supermarket Type1,3078.6592,train,Food,14
7.52,Regular,0.044202545,Baking Goods,182.995,Medium,Tier 3,Supermarket Type2,4394.28,train,Food,12
8.895,Regular,0.137858955,Frozen Foods,162.1236,Medium,Tier 1,Supermarket Type1,2577.9776,train,Food,22
4.805,Regular,0.037668051,Dairy,126.7704,High,Tier 3,Supermarket Type1,2628.5784,train,Food,34
17.1,Low Fat,0.224837308,Fruits and Vegetables,112.7886,Small,Tier 1,Grocery Store,222.3772,train,Food,36
7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,Medium,Tier 3,Supermarket Type2,1707.777,train,Food,12
8.975,Regular,0.053027398,Canned,86.0224,Small,Tier 2,Supermarket Type1,1278.336,train,Food,14
6.235,Not Applicable,0.118099673,Household,262.891,Medium,Tier 3,Supermarket Type3,5522.811,train,Non-Consumable,36
9.3,Low Fat,0.0,Frozen Foods,182.9292,Small,Tier 2,Supermarket Type1,4013.4424,train,Food,14
10.895,Low Fat,0.137023446,Dairy,263.7568,Medium,Tier 1,Supermarket Type1,7646.0472,train,Food,22
15.0,Regular,0.026950104,Baking Goods,220.9456,Medium,Tier 3,Supermarket Type2,1768.3648,train,Food,12
12.15,Not Applicable,0.0,Health and Hygiene,224.4404,Medium,Tier 3,Supermarket Type2,5626.01,train,Non-Consumable,12
16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,High,Tier 3,Supermarket Type1,3078.6592,train,Food,34
15.1,Regular,0.067350054,Snack Foods,257.3304,Medium,Tier 3,Supermarket Type2,3874.956,train,Food,12
8.02,Not Applicable,0.0,Household,157.7972,High,Tier 3,Supermarket Type1,1713.7692,train,Non-Consumable,34
19.35,Regular,0.049712775,Fruits and Vegetables,78.2644,Medium,Tier 1,Supermarket Type1,1492.7236,train,Food,22
20.7,Regular,0.122208091,Frozen Foods,119.7466,Small,Tier 2,Supermarket Type1,4006.7844,train,Food,14
16.85,Low Fat,0.138742518,Snack Foods,147.476,Medium,Tier 3,Supermarket Type3,3368.948,train,Food,36
4.59,Low Fat,0.070780558,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,1245.046,train,Drinks,24
18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,Small,Tier 3,Grocery Store,95.2094,train,Food,23
12.85,Not Applicable,0.053527105,Health and Hygiene,185.1608,Medium,Tier 1,Supermarket Type1,2388.8904,train,Non-Consumable,22
16.75,Not Applicable,0.076164013,Health and Hygiene,34.0532,Small,Tier 2,Supermarket Type1,575.2512,train,Non-Consumable,14
14.85,Regular,0.009995002,Snack Foods,154.463,Small,Tier 2,Supermarket Type1,3755.112,train,Food,14
8.235,Low Fat,0.08259502,Baking Goods,149.1076,Small,Tier 2,Supermarket Type1,1182.4608,train,Food,19
6.425,Low Fat,0.063122753,Breakfast,131.3626,High,Tier 3,Supermarket Type1,262.3252,train,Food,34
6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,Small,Tier 1,Supermarket Type1,1342.2528,train,Food,24
12.6,Regular,0.021863506,Fruits and Vegetables,247.0092,Medium,Tier 3,Supermarket Type3,5478.2024,train,Food,36
12.6,Not Applicable,0.063800266,Health and Hygiene,123.0414,Medium,Tier 3,Supermarket Type3,4629.9732,train,Non-Consumable,36
6.36,Not Applicable,0.006012413,Household,163.0526,Small,Tier 2,Supermarket Type1,1644.526,train,Non-Consumable,14
17.35,Regular,0.063207198,Baking Goods,89.383,Small,Tier 2,Supermarket Type1,1258.362,train,Food,14
8.6,Not Applicable,0.069809115,Household,90.5146,Small,Tier 2,Supermarket Type1,729.7168,train,Non-Consumable,14
17.7,Low Fat,0.011660463,Frozen Foods,96.541,Medium,Tier 3,Supermarket Type2,2220.443,train,Food,12
7.6,Regular,0.142410775,Starchy Foods,171.9448,Small,Tier 1,Supermarket Type1,3749.7856,train,Food,24
19.6,Low Fat,0.024226902,Dairy,48.7718,Small,Tier 1,Supermarket Type1,236.359,train,Drinks,24
13.0,Not Applicable,0.082440705,Household,61.3194,Medium,Tier 3,Supermarket Type3,2043.3402,train,Non-Consumable,36
9.3,Low Fat,0.066918731,Frozen Foods,184.2292,Small,Tier 2,Supermarket Type1,1641.8628,train,Food,19
20.2,Not Applicable,0.074390007,Household,91.4462,Small,Tier 2,Supermarket Type1,1943.4702,train,Non-Consumable,19
11.35,Regular,0.005530516,Fruits and Vegetables,171.179,Small,Tier 1,Supermarket Type1,4923.591,train,Food,24
16.5,Low Fat,0.028579565,Snack Foods,90.3146,Small,Tier 2,Supermarket Type1,2554.0088,train,Food,14
17.1,Not Applicable,0.038705317,Household,165.0842,High,Tier 3,Supermarket Type1,2320.9788,train,Non-Consumable,34
4.88,Regular,0.0,Baking Goods,53.1298,Small,Tier 2,Supermarket Type1,808.947,train,Food,17
10.195,Low Fat,0.108004532,Snack Foods,148.7076,Small,Tier 2,Supermarket Type1,1330.2684,train,Food,14
12.8,Regular,0.023626808,Meat,223.2404,Medium,Tier 3,Supermarket Type2,2475.4444,train,Food,12
12.1,Low Fat,0.070660449,Fruits and Vegetables,180.4002,Small,Tier 1,Grocery Store,716.4008,train,Food,36
8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,Medium,Tier 3,Supermarket Type2,3091.9752,train,Food,12
20.6,Regular,0.046208155,Snack Foods,178.0344,Medium,Tier 3,Supermarket Type2,1605.9096,train,Food,12
6.32,Low Fat,0.012769753,Meat,39.9822,Medium,Tier 3,Supermarket Type2,78.5644,train,Food,12
5.465,Regular,0.048486801,Baking Goods,131.2626,High,Tier 3,Supermarket Type1,3410.2276,train,Food,34
18.25,Low Fat,0.132596101,Frozen Foods,226.2062,Small,Tier 3,Grocery Store,677.1186,train,Food,23
14.5,Regular,0.128459481,Baking Goods,102.0332,Medium,Tier 1,Supermarket Type1,2050.664,train,Food,22
15.7,Not Applicable,0.161317495,Household,57.5562,Medium,Tier 3,Supermarket Type2,829.5868,train,Non-Consumable,12
9.6,Not Applicable,0.011211251,Household,166.9184,Small,Tier 3,Grocery Store,660.4736,train,Non-Consumable,23
20.7,Regular,0.114294512,Dairy,94.9436,Medium,Tier 1,Supermarket Type1,1229.0668,train,Food,22
6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,Small,Tier 1,Supermarket Type1,2727.7826,train,Food,24
5.655,Low Fat,0.085274988,Fruits and Vegetables,165.05,Small,Tier 1,Supermarket Type1,2330.3,train,Food,24
6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,Medium,Tier 3,Supermarket Type2,1304.968,train,Food,12
15.6,Low Fat,0.078764059,Dairy,241.3854,Small,Tier 1,Grocery Store,483.3708,train,Food,36
6.865,Regular,0.036042939,Frozen Foods,244.4486,Small,Tier 2,Supermarket Type1,4153.9262,train,Food,14
6.61,Regular,0.04855968,Snack Foods,188.4898,Small,Tier 3,Grocery Store,187.0898,train,Food,23
20.6,Low Fat,0.082602127,Baking Goods,120.9756,Medium,Tier 3,Supermarket Type3,3877.6192,train,Food,36
12.6,Not Applicable,0.064240743,Health and Hygiene,121.9414,Small,Tier 2,Supermarket Type1,1462.0968,train,Non-Consumable,19
6.055,Low Fat,0.031230059,Fruits and Vegetables,160.3578,Medium,Tier 3,Supermarket Type2,1765.0358,train,Food,12
20.2,Not Applicable,0.100114941,Household,188.3898,Small,Tier 2,Supermarket Type1,3554.7062,train,Non-Consumable,19
19.6,Regular,0.22417463,Snack Foods,168.8816,Small,Tier 1,Grocery Store,167.7816,train,Food,36
14.15,Low Fat,0.035943717,Soft Drinks,40.5138,Small,Tier 1,Supermarket Type1,446.7518,train,Drinks,24
16.5,Regular,0.06619442,Breakfast,184.4292,High,Tier 3,Supermarket Type1,3101.2964,train,Food,34
13.3,Regular,0.071439051,Fruits and Vegetables,61.0536,Small,Tier 2,Supermarket Type1,1898.8616,train,Food,17
9.195,Low Fat,0.108059141,Snack Foods,181.7634,Medium,Tier 1,Supermarket Type1,6179.9556,train,Food,22
8.895,Low Fat,0.026216144,Frozen Foods,207.5954,Medium,Tier 3,Supermarket Type3,6668.6528,train,Food,36
9.0,Low Fat,0.085938463,Snack Foods,168.6816,Small,Tier 2,Supermarket Type1,1342.2528,train,Food,17
15.7,Regular,0.008734284,Meat,207.898,Small,Tier 2,Supermarket Type1,3095.97,train,Food,17
18.1,Not Applicable,0.049016517,Household,128.7336,Medium,Tier 1,Supermarket Type1,2173.1712,train,Non-Consumable,22
10.395,Low Fat,0.111554381,Snack Foods,59.822,Medium,Tier 3,Supermarket Type3,1677.816,train,Food,36
15.7,Regular,0.030672457,Snack Foods,253.1724,Medium,Tier 1,Supermarket Type1,5285.1204,train,Food,22
9.195,Regular,0.077995641,Meat,107.1596,High,Tier 3,Supermarket Type1,2804.3496,train,Food,34
7.3,Low Fat,0.085715273,Frozen Foods,146.6076,Medium,Tier 3,Supermarket Type3,1773.6912,train,Food,36
13.85,Regular,0.056432784,Breakfast,234.93,Small,Tier 2,Supermarket Type1,4660.6,train,Food,19
20.2,Not Applicable,0.066200667,Household,61.451,Medium,Tier 3,Supermarket Type2,126.502,train,Non-Consumable,12
5.365,Regular,0.245542627,Seafood,172.2764,Small,Tier 1,Grocery Store,171.7764,train,Food,36
13.65,Regular,0.0127517,Snack Foods,55.5588,Small,Tier 1,Supermarket Type1,1603.2464,train,Food,24
15.0,Regular,0.077949334,Meat,238.7248,High,Tier 3,Supermarket Type1,2133.2232,train,Food,34
10.695,Not Applicable,0.064022881,Household,36.0848,Medium,Tier 3,Supermarket Type2,372.848,train,Non-Consumable,12
18.25,Regular,0.182407266,Dairy,109.157,Medium,Tier 3,Supermarket Type3,1867.569,train,Food,36
14.0,Regular,0.136328794,Frozen Foods,54.864,Medium,Tier 3,Supermarket Type2,319.584,train,Food,12
6.655,Low Fat,0.016958832,Fruits and Vegetables,210.0586,Small,Tier 1,Supermarket Type1,4221.172,train,Food,24
16.5,Regular,0.068125756,Canned,101.199,Small,Tier 1,Supermarket Type1,1031.99,train,Food,24
9.6,Regular,0.02734361,Snack Foods,257.8304,Small,Tier 1,Supermarket Type1,1808.3128,train,Food,24
6.55,Regular,0.034658144,Breads,155.8288,Medium,Tier 1,Supermarket Type1,1099.9016,train,Food,22
16.25,Low Fat,0.0,Canned,89.8804,Small,Tier 2,Supermarket Type1,1102.5648,train,Food,14
15.25,Regular,0.065841719,Snack Foods,179.866,High,Tier 3,Supermarket Type1,2696.49,train,Food,34
9.695,Regular,0.029158763,Canned,174.537,Small,Tier 2,Supermarket Type1,1235.059,train,Food,17
20.5,Low Fat,0.063649582,Frozen Foods,74.7696,Small,Tier 1,Grocery Store,74.5696,train,Food,36
16.0,Low Fat,0.05706009,Dairy,225.0404,Small,Tier 1,Supermarket Type1,4950.8888,train,Food,24
15.85,Low Fat,0.11566015,Breads,218.3166,Small,Tier 3,Grocery Store,435.4332,train,Food,23
12.8,Low Fat,0.075691713,Fruits and Vegetables,98.241,Medium,Tier 3,Supermarket Type3,2220.443,train,Food,36
18.85,Not Applicable,0.167844438,Household,193.9136,Medium,Tier 1,Supermarket Type1,3110.6176,train,Non-Consumable,22
6.215,Regular,0.049722335,Baking Goods,224.5062,Small,Tier 2,Supermarket Type1,4514.124,train,Food,19
18.85,Low Fat,0.14095631,Canned,167.7132,Medium,Tier 3,Supermarket Type3,3889.6036,train,Food,36
11.8,Not Applicable,0.058827557,Health and Hygiene,80.8618,Medium,Tier 1,Supermarket Type1,1288.9888,train,Non-Consumable,22
7.325,Low Fat,0.093765794,Fruits and Vegetables,90.3146,Medium,Tier 3,Supermarket Type2,1733.0774,train,Food,12
10.5,Low Fat,0.048092816,Hard Drinks,159.2946,Medium,Tier 1,Supermarket Type1,1893.5352,train,Drinks,22
15.7,Regular,0.018968743,Fruits and Vegetables,61.9536,Small,Tier 2,Supermarket Type1,1225.072,train,Food,19
20.75,Low Fat,0.024032484,Fruits and Vegetables,124.973,Medium,Tier 3,Supermarket Type3,2463.46,train,Food,36
13.0,Regular,0.070444232,Snack Foods,63.4484,Small,Tier 2,Supermarket Type1,1043.9744,train,Food,19
13.5,Regular,0.125469442,Snack Foods,264.491,Medium,Tier 1,Supermarket Type1,6574.775,train,Food,22
6.865,Low Fat,0.01405025,Soft Drinks,128.9652,Medium,Tier 3,Supermarket Type2,1679.1476,train,Drinks,12
7.785,Low Fat,0.139436695,Dairy,103.0306,High,Tier 3,Supermarket Type1,2404.2038,train,Food,34
17.7,Regular,0.016593506,Fruits and Vegetables,46.9034,Small,Tier 2,Supermarket Type1,972.068,train,Food,17
20.2,Not Applicable,0.124261614,Household,93.6462,Small,Tier 3,Grocery Store,277.6386,train,Non-Consumable,23
7.855,Low Fat,0.011261165,Canned,189.5188,Small,Tier 1,Supermarket Type1,1904.188,train,Food,24
6.36,Low Fat,0.120520818,Fruits and Vegetables,45.906,Small,Tier 2,Supermarket Type1,419.454,train,Food,17
17.0,Regular,0.015965308,Snack Foods,229.4352,Small,Tier 1,Supermarket Type1,4809.7392,train,Food,24
5.78,Low Fat,0.096386227,Breads,163.5552,Small,Tier 1,Supermarket Type1,1787.0072,train,Food,24
11.5,Low Fat,0.073029341,Fruits and Vegetables,187.953,Small,Tier 2,Supermarket Type1,2656.542,train,Food,19
13.6,Regular,0.043443753,Fruits and Vegetables,158.1946,Medium,Tier 3,Supermarket Type3,6942.9624,train,Food,36
18.2,Low Fat,0.049520593,Fruits and Vegetables,147.3734,Medium,Tier 3,Supermarket Type2,2375.5744,train,Food,12
18.25,Low Fat,0.079152918,Frozen Foods,223.8062,High,Tier 3,Supermarket Type1,4288.4178,train,Food,34
12.6,Low Fat,0.048741487,Breads,60.4194,High,Tier 3,Supermarket Type1,990.7104,train,Food,34
8.575,Regular,0.071958197,Dairy,195.3794,Medium,Tier 1,Supermarket Type1,3511.4292,train,Food,22
18.2,Low Fat,0.162147349,Fruits and Vegetables,37.719,Medium,Tier 3,Supermarket Type2,549.285,train,Food,12
8.115,Regular,0.05382735,Canned,155.2972,Small,Tier 3,Grocery Store,311.5944,train,Food,23
12.65,Low Fat,0.069565759,Meat,52.4324,Small,Tier 2,Supermarket Type1,571.2564,train,Food,19
17.6,Low Fat,0.056019324,Frozen Foods,40.0454,Medium,Tier 3,Supermarket Type3,419.454,train,Food,36
8.775,Low Fat,0.109911272,Dairy,41.9428,Small,Tier 1,Supermarket Type1,1537.998,train,Drinks,24
5.94,Regular,0.029366813,Breads,187.7556,Small,Tier 2,Supermarket Type1,3755.112,train,Food,17
18.85,Low Fat,0.055347985,Baking Goods,131.5284,Small,Tier 2,Supermarket Type1,1581.9408,train,Food,17
9.8,Regular,0.0,Baking Goods,49.2008,High,Tier 3,Supermarket Type1,657.8104,train,Food,34
12.65,Regular,0.156926608,Fruits and Vegetables,238.3538,Small,Tier 2,Supermarket Type1,5528.1374,train,Food,14
20.7,Not Applicable,0.039405676,Household,149.8366,Medium,Tier 3,Supermarket Type2,2267.049,train,Non-Consumable,12
14.65,Low Fat,0.170176516,Hard Drinks,55.2614,High,Tier 3,Supermarket Type1,718.3982,train,Drinks,34
6.695,Low Fat,0.033777629,Frozen Foods,222.8456,Medium,Tier 3,Supermarket Type3,7073.4592,train,Food,36
15.85,Low Fat,0.057546914,Snack Foods,55.8956,Medium,Tier 3,Supermarket Type2,491.3604,train,Food,12
